id;credit_card_type;creditcard_num;vaild_thru;cvs;max_limit;thrity_precent_limit
1;yet but;11617;2024-01-04T07:18:27;21062;22043.34;23251.29
2;arch past;31762;2024-01-04T01:34:04;26857;20981.94;23250.7
3;floss nationalise;26215;2024-01-04T20:45:54;4970;29883.85;24778.35
4;through frivolous yuck;9733;2024-01-04T17:52:55;9658;21560.63;21103.73
5;zowie;16406;2024-01-04T01:08:17;13668;2143.42;22975.5
6;far judgementally;18043;2024-01-04T10:31:39;19936;14916.29;30670.81
7;gee;4297;2024-01-04T04:02:45;16846;23359.31;25400.71
8;anchor outside;14776;2024-01-04T19:40:16;31319;18740.42;29914.98
9;tickle;24856;2024-01-04T03:25:53;31512;24128.07;3047.61
10;usefully harmonious unexpectedly;21450;2024-01-04T01:04:26;17458;25147.84;27484.76
